source,scraped_at,title,description,price,price_raw,city,district,ward,address,property_size,property_size_raw,property_type,bedrooms,bathrooms,amenities,currency,listing_id,crawl_status,listing_url
batdongsan.com.vn,2026-04-24T14:10:27Z,"Căn 1PN+ giá 8,7 tỷ, diện tích 54m2, tầng trung, view tiện ích nội khu, toà Sun Feliza Cầu Giấy",N/A,"8,7 tỷ","8,7 tỷ",N/A,N/A,N/A,N/A,54 m2,54 m2,Apartment,N/A,N/A,,VND,45418057,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-sun-feliza-suites/1pn-gia-8-7-ty-dien-tich-54m2-tang-trung-view-tien-ich-noi-khu-toa-cau-giay-pr45418057
batdongsan.com.vn,2026-04-24T14:10:32Z,"Chính chủ cần bán căn Nam Trung Yên 2 ngủ, 2 vs full nội thất giá: 4,5 tỷ",N/A,"4,5 tỷ","4,5 tỷ",N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,02,N/A,,VND,45617977,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-trung-hoa-4-khu-do-thi-nam-trung-yen/chinh-chu-ban-2-ngu-2-vs-full-noi-that-gia-4-5-ty-pr45617977
batdongsan.com.vn,2026-04-24T14:10:36Z,Chuyên khu Cầu Giấy cập nhật quỹ căn hộ 2PN - 3PN - 4PN tại dự án - IPH Xuân Thuỷ - Cầu Giấy,N/A,18 tỷ,18 tỷ,N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,N/A,N/A,,VND,45430118,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-indochina-plaza-hanoi/chuyen-khu-cau-giay-cap-nhat-quy-2pn-3pn-4pn-tai-du-an-iph-cau-giay-pr45430118
batdongsan.com.vn,2026-04-24T14:10:41Z,189 Tỷ Toà Khách Sạn 3 Sao Mặt Phố Trần Thái Tông 190m2 x 11T x mt 30m Lô Góc 2 Mặt Tiền Siêu Vip,N/A,189 Tỷ,189 Tỷ,N/A,N/A,N/A,N/A,190 m2,190 m2,Townhouse,N/A,N/A,,VND,45604641,ok,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-thai-tong-phuong-dich-vong-hau-7/189-ty-toa-khach-san-3-sao-190m2-x-11t-x-mt-30m-lo-goc-2-tien-sieu-vip-pr45604641
batdongsan.com.vn,2026-04-24T14:10:46Z,"CHỈ 9,32 TỶ CÓ NGAY NHÀ MẶT PHỐ CẦU GIẤY, MỎ VÀNG KINH DOANH",N/A,"9,32 TỶ","9,32 TỶ",N/A,Hoa 7,N/A,N/A,"21,5 m²","21,5 m²",Townhouse,N/A,N/A,,VND,45459864,ok,https://batdongsan.com.vn/ban-nha-mat-pho-duong-cau-giay-phuong-quan-hoa-7/chi-10-2-ty-co-ngay-mo-vang-kinh-doanh-pr45459864
batdongsan.com.vn,2026-04-24T14:10:50Z,"BQL tòa nhà mở bán quỹ căn 2N-3N-4N chung cư Indochina Plaza Hà Nội, cập nhật mới nhất (01/2025)",N/A,"13,2 tỷ","13,2 tỷ",N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,N/A,N/A,,VND,45161181,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-indochina-plaza-hanoi/bql-toa-nha-mo-ban-quy-2n-3n-4n-ha-noi-cap-nhat-moi-nhat-01-2025-pr45161181
batdongsan.com.vn,2026-04-24T14:10:55Z,BÁN NHÀ MẶT PHỐ (2 mặt tiền) CẦU GIẤY- Diện tích thực 200m2 - diện tích sổ 161m2,N/A,110 tỷ,110 tỷ,N/A,Hoa 7,N/A,N/A,200 m2,200 m2,Townhouse,N/A,6,,VND,45615548,ok,https://batdongsan.com.vn/ban-nha-mat-pho-duong-cau-giay-phuong-quan-hoa-7/ban-2-tien-dien-tich-thuc-200m2-dien-tich-so-161m2-pr45615548
batdongsan.com.vn,2026-04-24T14:10:59Z,"Mới. Căn hộ 2PN 2WC tại The Park Home, diện tích 80,36m2. (Giá 8 tỷ) có slot ô tô LH: 0704 151 ***",N/A,8 tỷ,8 tỷ,N/A,N/A,N/A,N/A,"80,36 m2","80,36 m2",Apartment,2,2,,VND,45449505,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-thai-phuong-dich-vong-the-park-home/em-hung-ban-nhanh-2pn-2wc-tai-dien-tich-80-36m2-gia-9-ty-co-slot-o-to-pr45449505
batdongsan.com.vn,2026-04-24T14:11:03Z,"THE PARK HOME 2PN FULL NỘI THẤT 81M CHỈ 8.6 TỶ, NHÀ ĐẸP Ở NGAY",N/A,8.6 TỶ,8.6 TỶ,N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,2,N/A,,VND,45615136,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-thai-phuong-dich-vong-the-park-home/2pn-full-noi-that-81m-chi-8-6-ty-nha-ep-o-ngay-pr45615136
batdongsan.com.vn,2026-04-24T14:11:08Z,"Bán gấp căn Studio full đồ đẹp cực hiếm tại tòa C5 dự án D'Capitale TDH giá công khai 3,x tỷ",N/A,"3,8 tỷ","3,8 tỷ",N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,N/A,1,,VND,41347222,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-vinhomes-d-capitale/ban-gap-studio-full-do-dep-cuc-hiem-tai-toa-c5-du-an-dcapital-tdh-gia-cong-khai-2-7-ty-pr41347222
batdongsan.com.vn,2026-04-24T14:11:12Z,13 TỶ!!! CĂN GÓC 130M2 SKYPARK - BAO RẺ ĐẸP KO CÓ CĂN THỨ 2. LH: 0972 433 ***,N/A,13 TỶ,13 TỶ,N/A,N/A,N/A,N/A,130 M2,130 M2,Apartment,N/A,N/A,,VND,45459217,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-that-thuyet-phuong-dich-vong-hau-sky-park-residence/quy-ban-ep-gia-tot-skypark-3pn-128-133m2-15-ty-2pn-71-80m2-9-ty-63m2-7-ty-lh-pr45459217
